"INST_ID","BEGIN_SNAP","Event","Time"
1,"26/10/2020 19:00","gc current block busy",676.76
1,"26/10/2020 20:00","DB CPU",55213.67
1,"26/10/2020 20:00","log file sync",9621.8
1,"26/10/2020 20:00","gc cr block 2-way",1522.25
1,"26/10/2020 20:00","enq: TX - row lock contention",1048.56
1,"26/10/2020 20:00","gc current block busy",653.24
1,"26/10/2020 21:00","DB CPU",57648.32
1,"26/10/2020 21:00","log file sync",9689.26
1,"26/10/2020 21:00","gc cr block 2-way",1594.54
1,"26/10/2020 21:00","gc current block busy",645.1
1,"26/10/2020 21:00","enq: TX - row lock contention",326.28
1,"26/10/2020 22:00","DB CPU",55046.85
1,"26/10/2020 22:00","log file sync",9636.11
1,"26/10/2020 22:00","gc cr block 2-way",1618.78
1,"26/10/2020 22:00","gc current block busy",678.3
1,"26/10/2020 22:00","enq: TX - row lock contention",284.42
1,"26/10/2020 23:00","DB CPU",67487.14
1,"26/10/2020 23:00","log file sync",11592.19
1,"26/10/2020 23:00","gc cr block 2-way",1836.92
1,"26/10/2020 23:00","gc current block busy",860.15
1,"26/10/2020 23:00","enq: TX - row lock contention",293.31
1,"27/10/2020 00:00","DB CPU",54429.99
1,"27/10/2020 00:00","log file sync",8423.85
1,"27/10/2020 00:00","gc cr block 2-way",1545.44
1,"27/10/2020 00:00","gc current block busy",704.57
1,"27/10/2020 00:00","enq: TX - row lock contention",173.86
1,"27/10/2020 01:00","DB CPU",65250.74
1,"27/10/2020 01:00","log file sync",11212.2
1,"27/10/2020 01:00","gc cr block 2-way",1894.39
1,"27/10/2020 01:00","gc current block busy",938.3
1,"27/10/2020 01:00","enq: TX - row lock contention",273.4
1,"27/10/2020 02:00","DB CPU",47237.31
1,"27/10/2020 02:00","log file sync",9022.34
1,"27/10/2020 02:00","gc cr block 2-way",1623.49
1,"27/10/2020 02:00","gc current block busy",739.71
1,"27/10/2020 02:00","enq: TX - row lock contention",190.31
1,"27/10/2020 03:00","DB CPU",39974.99
1,"27/10/2020 03:00","log file sync",7240.5
1,"27/10/2020 03:00","gc cr block 2-way",1311.64
1,"27/10/2020 03:00","gc current block busy",585.44
1,"27/10/2020 03:00","enq: TX - row lock contention",167.77
1,"27/10/2020 04:00","DB CPU",45782.05
1,"27/10/2020 04:00","log file sync",7043.44
1,"27/10/2020 04:00","gc cr block 2-way",1347.57
1,"27/10/2020 04:00","gc current block busy",601.02
1,"27/10/2020 04:00","enq: TX - row lock contention",99.57
1,"27/10/2020 05:00","DB CPU",47724.92
1,"27/10/2020 05:00","log file sync",6483.98
1,"27/10/2020 05:00","gc cr block 2-way",1339.09
1,"27/10/2020 05:00","gc current block busy",593.61
1,"27/10/2020 05:00","enq: TX - row lock contention",125.57
1,"27/10/2020 06:00","DB CPU",46697.31
1,"27/10/2020 06:00","log file sync",6170.81
1,"27/10/2020 06:00","gc cr block 2-way",1300.17
1,"27/10/2020 06:00","gc current block busy",584.44
1,"27/10/2020 06:00","enq: TX - row lock contention",158.76
1,"27/10/2020 07:00","DB CPU",45197.59
1,"27/10/2020 07:00","log file sync",6683.62
1,"27/10/2020 07:00","gc cr block 2-way",1380.1
1,"27/10/2020 07:00","gc current block busy",635.36
1,"27/10/2020 07:00","enq: TX - row lock contention",172.95
1,"27/10/2020 08:00","DB CPU",43272.38
1,"27/10/2020 08:00","log file sync",6702.11
1,"27/10/2020 08:00","gc cr block 2-way",1281.3
1,"27/10/2020 08:00","gc current block busy",585.9
1,"27/10/2020 08:00","enq: TX - row lock contention",191.8
1,"27/10/2020 09:00","DB CPU",51974.33
1,"27/10/2020 09:00","log file sync",7288.44
1,"27/10/2020 09:00","gc cr block 2-way",1347.82
1,"27/10/2020 09:00","gc current block busy",600.64
1,"27/10/2020 09:00","enq: TX - row lock contention",114.17
1,"27/10/2020 10:00","DB CPU",46880.65
1,"27/10/2020 10:00","log file sync",7576.78
1,"27/10/2020 10:00","enq: TX - row lock contention",3200.55
1,"27/10/2020 10:00","gc cr block 2-way",1343.57
1,"27/10/2020 10:00","gc current block busy",610.09
1,"27/10/2020 11:00","DB CPU",48216.36
1,"27/10/2020 11:00","log file sync",7241.88
1,"27/10/2020 11:00","gc cr block 2-way",1349.71
1,"27/10/2020 11:00","gc current block busy",620.6
1,"27/10/2020 11:00","enq: TX - row lock contention",181.83
1,"27/10/2020 12:00","DB CPU",42672.87
1,"27/10/2020 12:00","log file sync",8028.5
1,"27/10/2020 12:00","gc cr block 2-way",1360.23
1,"27/10/2020 12:00","gc current block busy",630.02
1,"27/10/2020 12:00","enq: TX - row lock contention",193.39
1,"27/10/2020 13:00","DB CPU",46182.4
1,"27/10/2020 13:00","log file sync",8324.76
1,"27/10/2020 13:00","gc cr block 2-way",1488.52
1,"27/10/2020 13:00","gc current block busy",675.55
1,"27/10/2020 13:00","enq: TX - row lock contention",375.59
1,"27/10/2020 14:00","DB CPU",56911.9
1,"27/10/2020 14:00","log file sync",10302.8
1,"27/10/2020 14:00","gc cr block 2-way",1701.96
1,"27/10/2020 14:00","gc current block busy",785.65
1,"27/10/2020 14:00","enq: TX - row lock contention",185.83
1,"27/10/2020 15:00","DB CPU",58005.83
1,"27/10/2020 15:00","log file sync",10577.28
1,"27/10/2020 15:00","gc cr block 2-way",1916.16
1,"27/10/2020 15:00","enq: TX - row lock contention",1353.51
1,"27/10/2020 15:00","gc current block busy",911.92
1,"27/10/2020 16:00","DB CPU",62057.56
1,"27/10/2020 16:00","log file sync",12511.68
1,"27/10/2020 16:00","gc cr block 2-way",2054.08
1,"27/10/2020 16:00","gc current block busy",954.96
1,"27/10/2020 16:00","enq: TX - row lock contention",403.11
1,"27/10/2020 17:00","DB CPU",52830.59
1,"27/10/2020 17:00","log file sync",11012.94
1,"27/10/2020 17:00","gc cr block 2-way",1943.3
1,"27/10/2020 17:00","gc current block busy",923.43
1,"27/10/2020 17:00","enq: TX - row lock contention",330.72
1,"27/10/2020 18:00","DB CPU",48641.41
1,"27/10/2020 18:00","log file sync",9720.85
1,"27/10/2020 18:00","gc cr block 2-way",1724.15
1,"27/10/2020 18:00","gc current block busy",781.22
