"INSTANCE_NUMBER","PROCESS","TIME"
2,4258,"10/04/2021 04:00"
1,4103,"10/04/2021 04:00"
2,4215,"10/04/2021 05:00"
1,4064,"10/04/2021 05:00"
2,4205,"10/04/2021 06:00"
1,4060,"10/04/2021 06:00"
2,4204,"10/04/2021 07:00"
1,4055,"10/04/2021 07:00"
1,4050,"10/04/2021 08:00"
2,4217,"10/04/2021 08:00"
2,4329,"10/04/2021 09:00"
1,4175,"10/04/2021 09:00"
2,4338,"10/04/2021 10:00"
1,4183,"10/04/2021 10:00"
2,4343,"10/04/2021 11:00"
1,4179,"10/04/2021 11:00"
2,4342,"10/04/2021 12:00"
1,4182,"10/04/2021 12:00"
2,4357,"10/04/2021 13:00"
1,4191,"10/04/2021 13:00"
2,4365,"10/04/2021 14:00"
1,4211,"10/04/2021 14:00"
2,4375,"10/04/2021 15:00"
1,4207,"10/04/2021 15:00"
2,4376,"10/04/2021 16:00"
1,4211,"10/04/2021 16:00"
2,4367,"10/04/2021 17:00"
1,4216,"10/04/2021 17:00"
2,4367,"10/04/2021 18:00"
1,4216,"10/04/2021 18:00"
2,4365,"10/04/2021 19:00"
1,4228,"10/04/2021 19:00"
2,4370,"10/04/2021 20:00"
1,4224,"10/04/2021 20:00"
2,4369,"10/04/2021 21:00"
1,4225,"10/04/2021 21:00"
2,4369,"10/04/2021 22:00"
1,4235,"10/04/2021 22:00"
2,4377,"10/04/2021 23:00"
1,4221,"10/04/2021 23:00"
2,4380,"11/04/2021 00:00"
1,4228,"11/04/2021 00:00"
2,4371,"11/04/2021 01:00"
1,4232,"11/04/2021 01:00"
1,4216,"11/04/2021 02:00"
2,4375,"11/04/2021 02:00"
2,4374,"11/04/2021 03:00"
1,4216,"11/04/2021 03:00"
2,4375,"11/04/2021 04:00"
1,4226,"11/04/2021 04:00"
2,4388,"11/04/2021 05:00"
1,4223,"11/04/2021 05:00"
2,4381,"11/04/2021 06:00"
1,4230,"11/04/2021 06:00"
2,4384,"11/04/2021 07:00"
1,4222,"11/04/2021 07:00"
2,4383,"11/04/2021 08:00"
1,4226,"11/04/2021 08:00"
2,4378,"11/04/2021 09:00"
1,4222,"11/04/2021 09:00"
2,4378,"11/04/2021 10:00"
1,4231,"11/04/2021 10:00"
2,4373,"11/04/2021 11:00"
1,4225,"11/04/2021 11:00"
2,4372,"11/04/2021 12:00"
1,4237,"11/04/2021 12:00"
2,4382,"11/04/2021 13:00"
1,4233,"11/04/2021 13:00"
2,4381,"11/04/2021 14:00"
1,4222,"11/04/2021 14:00"
2,4385,"11/04/2021 15:00"
1,4251,"11/04/2021 15:00"
2,4387,"11/04/2021 16:00"
1,4252,"11/04/2021 16:00"
2,4383,"11/04/2021 17:00"
1,4250,"11/04/2021 17:00"
1,4256,"11/04/2021 18:00"
2,4387,"11/04/2021 18:00"
2,4382,"11/04/2021 19:00"
1,4260,"11/04/2021 19:00"
2,4395,"11/04/2021 20:00"
1,4254,"11/04/2021 20:00"
2,4383,"11/04/2021 21:00"
1,4251,"11/04/2021 21:00"
2,4379,"11/04/2021 22:00"
1,4258,"11/04/2021 22:00"
2,4391,"11/04/2021 23:00"
1,4256,"11/04/2021 23:00"
2,4397,"12/04/2021 00:00"
1,4257,"12/04/2021 00:00"
2,4398,"12/04/2021 01:00"
1,4268,"12/04/2021 01:00"
2,4401,"12/04/2021 02:00"
1,4255,"12/04/2021 02:00"
2,4333,"12/04/2021 03:00"
1,4202,"12/04/2021 03:00"
2,4343,"12/04/2021 04:00"
1,4212,"12/04/2021 04:00"
2,4323,"12/04/2021 05:00"
1,4213,"12/04/2021 05:00"
2,4226,"12/04/2021 06:00"
1,4075,"12/04/2021 06:00"
2,4208,"12/04/2021 07:00"
1,4067,"12/04/2021 07:00"
1,4069,"12/04/2021 08:00"
2,4210,"12/04/2021 08:00"
2,4226,"12/04/2021 09:00"
1,4112,"12/04/2021 09:00"
2,4099,"12/04/2021 10:00"
1,3841,"12/04/2021 10:00"
2,4093,"12/04/2021 11:00"
1,4070,"12/04/2021 11:00"
2,4090,"12/04/2021 12:00"
1,4109,"12/04/2021 12:00"
2,4014,"12/04/2021 13:00"
1,4123,"12/04/2021 13:00"
1,4098,"12/04/2021 14:00"
2,3935,"12/04/2021 14:00"
2,3986,"12/04/2021 15:00"
1,4152,"12/04/2021 15:00"
2,4025,"12/04/2021 16:00"
1,4192,"12/04/2021 16:00"
2,4012,"12/04/2021 17:00"
1,4234,"12/04/2021 17:00"
2,4009,"12/04/2021 18:00"
1,4242,"12/04/2021 18:00"
2,4006,"12/04/2021 19:00"
1,4238,"12/04/2021 19:00"
2,4012,"12/04/2021 20:00"
1,4236,"12/04/2021 20:00"
2,4008,"12/04/2021 21:00"
1,4244,"12/04/2021 21:00"
2,4026,"12/04/2021 22:00"
1,4254,"12/04/2021 22:00"
2,4007,"12/04/2021 23:00"
1,4241,"12/04/2021 23:00"
2,3966,"13/04/2021 00:00"
1,5449,"13/04/2021 00:00"
2,2176,"13/04/2021 01:00"
1,6086,"13/04/2021 01:00"
1,7759,"13/04/2021 02:00"
1,7996,"13/04/2021 03:00"
2,5318,"13/04/2021 03:00"
2,7998,"13/04/2021 04:00"
1,3594,"13/04/2021 04:00"
2,3534,"13/04/2021 05:00"
1,3618,"13/04/2021 05:00"
1,3617,"13/04/2021 06:00"
2,3627,"13/04/2021 06:00"
2,3632,"13/04/2021 07:00"
1,3626,"13/04/2021 07:00"
2,3750,"13/04/2021 08:00"
1,3780,"13/04/2021 08:00"
1,3734,"13/04/2021 09:00"
2,3745,"13/04/2021 09:00"
1,3928,"13/04/2021 10:00"
2,3818,"13/04/2021 10:00"
2,3861,"13/04/2021 11:00"
1,4023,"13/04/2021 11:00"
1,4353,"13/04/2021 12:00"
2,4366,"13/04/2021 12:00"
2,4375,"13/04/2021 13:00"
1,4361,"13/04/2021 13:00"
1,4248,"13/04/2021 14:00"
2,4200,"13/04/2021 14:00"
1,4254,"13/04/2021 15:00"
2,4217,"13/04/2021 15:00"
2,4320,"13/04/2021 16:00"
1,4363,"13/04/2021 16:00"
1,4376,"13/04/2021 17:00"
2,4333,"13/04/2021 17:00"
1,4384,"13/04/2021 18:00"
2,4333,"13/04/2021 18:00"
2,4337,"13/04/2021 19:00"
1,4390,"13/04/2021 19:00"
2,4354,"13/04/2021 20:00"
1,4432,"13/04/2021 20:00"
2,4358,"13/04/2021 21:00"
1,4429,"13/04/2021 21:00"
2,4354,"13/04/2021 22:00"
1,4431,"13/04/2021 22:00"
