pga,bp_mb,extra_rw_mb,estd_pga_cache_hit_percentage
134,23223,1131,95
268,23223,1131,95
536,23223,0,100
804,23223,0,100
1072,23223,0,100
1286,23223,0,100
1501,23223,0,100
1715,23223,0,100
1930,23223,0,100
2144,23223,0,100
3216,23223,0,100
4288,23223,0,100
6432,23223,0,100
8576,23223,0,100
