
"INST_ID","BEGIN_SNAP","Event","Time"
1,"21/12/2020 19:00","gc current block busy",991.71
1,"21/12/2020 20:00","DB CPU",39980.66
1,"21/12/2020 20:00","log file sync",10984.76
1,"21/12/2020 20:00","gc cr block 2-way",2266.19
1,"21/12/2020 20:00","gc current block busy",949.73
1,"21/12/2020 20:00","enq: TX - row lock contention",339.24
1,"21/12/2020 21:00","DB CPU",39393.27
1,"21/12/2020 21:00","log file sync",10381.04
1,"21/12/2020 21:00","gc cr block 2-way",2150.5
1,"21/12/2020 21:00","gc current block busy",897.9
1,"21/12/2020 21:00","enq: TX - row lock contention",831.24
1,"21/12/2020 22:00","DB CPU",39476.64
1,"21/12/2020 22:00","log file sync",9929.83
1,"21/12/2020 22:00","gc cr block 2-way",2080.95
1,"21/12/2020 22:00","gc current block busy",856.38
1,"21/12/2020 22:00","enq: TX - row lock contention",506.43
1,"21/12/2020 23:00","DB CPU",48338.39
1,"21/12/2020 23:00","log file sync",10098.86
1,"21/12/2020 23:00","gc cr block 2-way",2125.75
1,"21/12/2020 23:00","gc current block busy",859.93
1,"21/12/2020 23:00","enq: TX - row lock contention",428.13
1,"22/12/2020 00:00","DB CPU",39151.08
1,"22/12/2020 00:00","log file sync",9736.14
1,"22/12/2020 00:00","gc cr block 2-way",1866.56
1,"22/12/2020 00:00","gc current block busy",788.07
1,"22/12/2020 00:00","enq: TX - row lock contention",530.41
1,"22/12/2020 01:00","DB CPU",39114.13
1,"22/12/2020 01:00","log file sync",9793.89
1,"22/12/2020 01:00","gc cr block 2-way",2021.92
1,"22/12/2020 01:00","gc current block busy",857.9
1,"22/12/2020 01:00","enq: TX - row lock contention",700.98
1,"22/12/2020 02:00","DB CPU",37572.31
1,"22/12/2020 02:00","log file sync",10310.16
1,"22/12/2020 02:00","gc cr block 2-way",1924.56
1,"22/12/2020 02:00","gc current block busy",817.84
1,"22/12/2020 02:00","enq: TX - row lock contention",521.27
1,"22/12/2020 03:00","DB CPU",31885.59
1,"22/12/2020 03:00","log file sync",7819.85
1,"22/12/2020 03:00","gc cr block 2-way",1614.63
1,"22/12/2020 03:00","gc current block busy",693.67
1,"22/12/2020 03:00","enq: TX - row lock contention",546.75
1,"22/12/2020 04:00","DB CPU",30904.81
