
"SGA","DB_TIME","FACTOR","ESTD_PHYSICAL_READS","ESTD_BUFFER_CACHE_SIZE","ESTD_SHARED_POOL_SIZE"
1536,956,"0.50",54070,320,944
2304,929,"0.75",43771,960,1008
3072,929,"1.00",43771,1760,1008
3840,929,"1.25",43771,2400,1008
4608,929,"1.50",43771,3200,1008
5376,929,"1.75",43771,3840,1008
6144,929,"2.00",43771,4640,1008
