sga,db_time,factor,estd_physical_reads,estd_buffer_cache_size,estd_shared_pool_size
500,428,,25,158844,1008,704
1000,1071,,5,310016,224,528
1500,831,,75,158844,560,704
2000,831,1,158844,1008,704
2500,831,1,25,158844,1456,704
3000,831,1,5,158844,2016,704
3500,831,1,75,158844,2464,704
4000,831,2,158844,2912,704
