2,"2022-01-16 12:00:00",1797
2,"2022-01-16 13:00:00",1884
2,"2022-01-16 14:00:00",1961
2,"2022-01-16 15:01:00",1969
2,"2022-01-16 16:00:00",1988
2,"2022-01-16 17:00:00",1971
2,"2022-01-16 18:00:00",2007
2,"2022-01-16 19:00:00",2001
2,"2022-01-16 20:01:00",1984
2,"2022-01-16 21:00:00",1989
2,"2022-01-16 22:00:00",2039
2,"2022-01-16 23:00:00",2103
2,"2022-01-17 00:00:00",2089
2,"2022-01-17 01:00:00",2023
2,"2022-01-17 02:00:00",1955
2,"2022-01-17 03:00:00",1937
2,"2022-01-17 04:00:00",1934
2,"2022-01-17 05:00:00",1938
2,"2022-01-17 06:00:00",1946
2,"2022-01-17 07:00:00",1930
2,"2022-01-17 08:00:00",1937
2,"2022-01-17 09:00:00",2027
2,"2022-01-17 10:01:00",2180
2,"2022-01-17 11:00:00",2269
2,"2022-01-17 12:00:00",2345
2,"2022-01-17 13:00:00",2377
2,"2022-01-17 14:00:00",2524
2,"2022-01-17 15:00:00",2536
2,"2022-01-17 16:00:00",2518
2,"2022-01-17 17:00:00",2488
2,"2022-01-17 18:00:00",2544
2,"2022-01-17 19:00:00",2494
2,"2022-01-17 20:00:00",2449
2,"2022-01-17 21:00:00",2471
2,"2022-01-17 22:00:00",2435
2,"2022-01-17 23:00:00",2351
2,"2022-01-18 00:00:00",2360
2,"2022-01-18 01:00:00",2271
2,"2022-01-18 02:00:00",2184
2,"2022-01-18 03:00:00",2115
2,"2022-01-18 04:01:00",2048
2,"2022-01-18 05:00:00",2030
2,"2022-01-18 06:00:00",1989
2,"2022-01-18 07:00:00",2042
2,"2022-01-18 08:00:00",2074
