"INSTANCE","DATETIME","DATA"
1,"13/05/2020 19:00",1568
1,"13/05/2020 20:00",2101
1,"13/05/2020 21:00",1805
1,"13/05/2020 22:00",1836
1,"13/05/2020 23:00",2208
1,"14/05/2020 00:00",1686
1,"14/05/2020 01:00",2133
1,"14/05/2020 02:00",1685
1,"14/05/2020 03:00",1781
1,"14/05/2020 04:00",1982
1,"14/05/2020 05:00",2328
1,"14/05/2020 06:00",1763
1,"14/05/2020 07:00",1729
1,"14/05/2020 08:00",2243
1,"14/05/2020 09:00",1929
1,"14/05/2020 10:01",1781
1,"14/05/2020 11:01",1940
1,"14/05/2020 12:01",1881
1,"14/05/2020 13:01",2027
1,"14/05/2020 14:01",2028
1,"14/05/2020 15:00",1694
1,"14/05/2020 16:00",1565
1,"14/05/2020 17:00",1886
1,"14/05/2020 18:00",2100
1,"14/05/2020 19:00",2006
1,"14/05/2020 20:00",2159
1,"14/05/2020 21:00",1896
1,"14/05/2020 22:00",1632
1,"14/05/2020 23:00",1773
1,"15/05/2020 00:00",1946
1,"15/05/2020 01:00",1683
1,"15/05/2020 02:00",1963
1,"15/05/2020 03:00",1827
1,"15/05/2020 04:00",1939
1,"15/05/2020 05:00",1831
1,"15/05/2020 06:00",1764
1,"15/05/2020 07:00",1445
1,"15/05/2020 08:01",1846
1,"15/05/2020 09:01",1837
1,"15/05/2020 10:01",1805
1,"15/05/2020 11:01",2010
1,"15/05/2020 12:01",1883
1,"15/05/2020 13:01",1954
1,"15/05/2020 14:00",2061
1,"15/05/2020 15:00",1551
1,"15/05/2020 16:00",1665
1,"15/05/2020 17:00",2156
1,"15/05/2020 18:00",1456
1,"15/05/2020 19:01",2002
1,"15/05/2020 20:01",2063
1,"15/05/2020 21:01",1811
1,"15/05/2020 22:01",1807
1,"15/05/2020 23:00",1906
1,"16/05/2020 00:00",2128
1,"16/05/2020 01:00",1770
1,"16/05/2020 02:00",1609
1,"16/05/2020 03:00",1750
1,"16/05/2020 04:00",2177
1,"16/05/2020 05:00",2342
1,"16/05/2020 06:00",1964
1,"16/05/2020 07:00",1566
1,"16/05/2020 08:00",1596
1,"16/05/2020 09:00",1627
1,"16/05/2020 10:00",1708
1,"16/05/2020 11:00",1698
1,"16/05/2020 12:00",1906
1,"16/05/2020 13:00",1682
1,"16/05/2020 14:00",1859
1,"16/05/2020 15:00",1813
1,"16/05/2020 16:00",1883
1,"16/05/2020 17:00",1837
1,"16/05/2020 18:01",1493
1,"16/05/2020 19:01",2055
1,"16/05/2020 20:01",1572
1,"16/05/2020 21:01",1895
1,"16/05/2020 22:01",1384
1,"16/05/2020 23:01",2061
1,"17/05/2020 00:00",1667
