sga,db_time,factor,estd_physical_reads,estd_buffer_cache_size,estd_shared_pool_size
768,6762,,125,185132,3888,1808
1536,6762,,25,185132,3888,1808
2304,8154,,375,185836,432,1280
3072,8129,,5,185836,432,1936
3840,8129,,625,185132,1296,1936
4608,8129,,75,185132,2160,1808
5376,8129,,875,185132,3024,1808
6144,8129,1,185132,3888,1808
6912,8129,1,125,185132,4320,1808
7680,8129,1,25,185132,5184,1808
8448,8129,1,375,185132,6048,1808
9216,8129,1,5,185132,6480,1808
9984,8129,1,625,185132,7344,1808
10752,8129,1,75,185132,8208,1808
11520,8129,1,875,185132,8640,1808
12288,8129,2,185132,9504,1808
