pga,bp_mb,extra_rw_mb,estd_pga_cache_hit_percentage
128,51354,1519,97
256,51354,1519,97
512,51354,9,100
768,51354,0,100
1024,51354,0,100
1229,51354,0,100
1434,51354,0,100
1638,51354,0,100
1843,51354,0,100
2048,51354,0,100
3072,51354,0,100
4096,51354,0,100
6144,51354,0,100
8192,51354,0,100
