sga,db_time,factor,estd_physical_reads,estd_buffer_cache_size,estd_shared_pool_size
768,2724,,25,245677,1296,1472
1536,20702,,5,1992465,144,1136
2304,3375,,75,246488,864,1232
3072,3366,1,245677,1296,1472
3840,3366,1,25,245677,2016,1472
4608,3366,1,5,245677,2736,1472
5376,3366,1,75,245677,3456,1472
6144,3366,2,245677,4176,1472
