
"PGA","FACTOR","BP_MB","EXTRA_RW_MB","ESTD_PGA_CACHE_HIT_PERCENTAGE"
88,"0.13",21429,859,96
175,"0.25",21429,859,96
350,"0.50",21429,859,96
525,"0.75",21429,859,96
700,"1.00",21429,0,100
840,"1.20",21429,0,100
980,"1.40",21429,0,100
1120,"1.60",21429,0,100
1260,"1.80",21429,0,100
1400,"2.00",21429,0,100
2100,"3.00",21429,0,100
2800,"4.00",21429,0,100
4200,"6.00",21429,0,100
5600,"8.00",21429,0,100
