
"INSTANCE","DATETIME","DATA"
1,"27/12/2020 18:00",3248
1,"27/12/2020 19:01",3176
1,"27/12/2020 20:00",3191
1,"27/12/2020 21:00",3197
1,"27/12/2020 22:01",3174
1,"27/12/2020 23:00",3223
1,"28/12/2020 00:00",3267
1,"28/12/2020 01:01",3274
1,"28/12/2020 02:01",3144
1,"28/12/2020 03:00",3163
1,"28/12/2020 04:01",3028
1,"28/12/2020 05:00",3012
1,"28/12/2020 06:00",3020
1,"28/12/2020 07:01",3168
1,"28/12/2020 08:00",3020
1,"28/12/2020 09:00",3034
1,"28/12/2020 10:00",3098
1,"28/12/2020 11:01",3153
1,"28/12/2020 12:00",3277
1,"28/12/2020 13:00",3494
1,"28/12/2020 14:01",3587
1,"28/12/2020 15:00",3809
1,"28/12/2020 16:00",3822
1,"28/12/2020 17:01",3704
1,"28/12/2020 18:00",3787
1,"28/12/2020 19:00",3799
1,"28/12/2020 20:00",3775
1,"28/12/2020 21:00",3835
1,"28/12/2020 22:00",3910
1,"28/12/2020 23:00",4236
1,"29/12/2020 00:01",4028
1,"29/12/2020 01:00",3631
1,"29/12/2020 02:01",3447
1,"29/12/2020 03:01",3216
1,"29/12/2020 04:00",3218
1,"29/12/2020 05:01",3140
1,"29/12/2020 06:01",3021
1,"29/12/2020 07:00",3346
1,"29/12/2020 08:01",3097
1,"29/12/2020 09:01",3033
1,"29/12/2020 10:00",3111
1,"29/12/2020 11:00",3236
1,"29/12/2020 12:01",3302
1,"29/12/2020 13:00",3550
1,"29/12/2020 14:00",3664
1,"29/12/2020 15:00",3947
1,"29/12/2020 16:00",3968
1,"29/12/2020 17:00",3897
1,"29/12/2020 18:00",3841
1,"29/12/2020 19:00",3926
1,"29/12/2020 20:00",3909
1,"29/12/2020 21:00",3896
1,"29/12/2020 22:01",3813
1,"29/12/2020 23:00",3825
1,"30/12/2020 00:01",3707
1,"30/12/2020 01:00",3628
1,"30/12/2020 02:00",3516
1,"30/12/2020 03:01",3322
1,"30/12/2020 04:00",3198
1,"30/12/2020 05:00",3191
1,"30/12/2020 06:01",3096
1,"30/12/2020 07:00",3246
1,"30/12/2020 08:00",3107
1,"30/12/2020 09:01",3069
1,"30/12/2020 10:00",3097
1,"30/12/2020 11:00",3242
1,"30/12/2020 12:00",3350
1,"30/12/2020 13:00",3526
1,"30/12/2020 14:00",3678
1,"30/12/2020 15:00",3821
1,"30/12/2020 16:00",4274
1,"30/12/2020 17:00",4400
1,"30/12/2020 18:00",4414
1,"30/12/2020 19:01",4350
1,"30/12/2020 20:00",4499
