INSTANCE,SYSDATE,VALUE
1,10-01-22 12:30,35580
1,10-01-22 13:01,35775
1,10-01-22 13:31,35682
1,10-01-22 14:01,35636
1,10-01-22 14:31,36999
1,10-01-22 15:01,35379
1,10-01-22 15:30,35368
1,10-01-22 16:00,35303
1,10-01-22 16:30,35249
1,10-01-22 17:00,35012
1,10-01-22 17:30,35555
1,10-01-22 18:00,35039
1,10-01-22 18:31,35026
1,10-01-22 19:01,35017
1,10-01-22 19:31,34967
1,10-01-22 20:00,34998
1,10-01-22 20:30,34933
1,10-01-22 21:01,35017
1,10-01-22 21:31,42254
1,10-01-22 22:01,43800
1,10-01-22 22:31,34903
1,10-01-22 23:00,35013
1,10-01-22 23:30,34984
1,11-01-22 00:00,35020
1,11-01-22 00:30,34935
1,11-01-22 01:01,35000
1,11-01-22 01:31,34922
1,11-01-22 02:01,49334
1,11-01-22 02:30,34912
1,11-01-22 03:00,35010
1,11-01-22 03:30,34923
1,11-01-22 04:00,34950
1,11-01-22 04:31,34997
1,11-01-22 05:01,34958
1,11-01-22 05:30,35000
1,11-01-22 06:01,34910
1,11-01-22 06:31,35017
1,11-01-22 07:01,35058
1,11-01-22 07:31,35142
1,11-01-22 08:01,39133
1,11-01-22 08:30,35285
1,11-01-22 09:00,35817
1,11-01-22 09:30,35409
1,11-01-22 10:01,35171
1,11-01-22 10:31,35153
1,11-01-22 11:01,35237
1,11-01-22 11:31,36988
1,11-01-22 12:00,37040
1,11-01-22 12:30,35746
1,11-01-22 13:00,36116
1,11-01-22 13:30,35414
1,11-01-22 14:01,35332
1,11-01-22 14:31,35537
1,11-01-22 15:01,35010
1,11-01-22 15:31,35111
1,11-01-22 16:01,34893
1,11-01-22 16:30,35065
1,11-01-22 17:00,35080
1,11-01-22 17:30,35373
1,11-01-22 18:00,34997
1,11-01-22 18:31,35065
1,11-01-22 19:01,34915
1,11-01-22 19:30,34958
1,11-01-22 20:00,34981
1,11-01-22 20:30,35006
1,11-01-22 21:01,34935
1,11-01-22 21:31,44821
1,11-01-22 22:01,46975
1,11-01-22 22:31,34495
1,11-01-22 23:00,35162
1,11-01-22 23:30,34963
1,12-01-22 00:00,35045
1,12-01-22 00:30,34928
1,12-01-22 01:01,35046
1,12-01-22 01:31,35285
1,12-01-22 02:01,49639
1,12-01-22 02:30,34947
1,12-01-22 03:00,34930
1,12-01-22 03:30,34907
1,12-01-22 04:01,34975
1,12-01-22 04:31,35034
1,12-01-22 05:01,34850
1,12-01-22 05:30,34992
1,12-01-22 06:00,34939
1,12-01-22 06:30,35028
1,12-01-22 07:01,34900
1,12-01-22 07:31,35005
1,12-01-22 08:01,34895
1,12-01-22 08:30,35251
1,12-01-22 09:00,35410
1,12-01-22 09:30,35516
1,12-01-22 10:00,38232
1,12-01-22 10:31,37197
1,12-01-22 11:01,36114
1,12-01-22 11:31,35632
1,12-01-22 12:01,34864
1,12-01-22 12:30,35241
1,12-01-22 13:00,35481
1,12-01-22 13:30,35967
1,12-01-22 14:00,35805
1,12-01-22 14:30,36817
1,12-01-22 15:00,35300
1,12-01-22 15:30,35306
1,12-01-22 16:00,35571
1,12-01-22 16:31,35674
1,12-01-22 17:01,35615
1,12-01-22 17:31,35552
1,12-01-22 18:01,35678
1,12-01-22 18:31,35417
1,12-01-22 19:01,35213
1,12-01-22 19:30,35344
