sga,db_time,factor,estd_physical_reads,estd_buffer_cache_size,estd_shared_pool_size
768,1406,,25,178929,1440,1424
1536,3735,,5,1624317,144,1136
2304,1989,,75,183975,576,1424
3072,1986,1,178929,1440,1424
3840,1986,1,25,178929,2160,1424
4608,1986,1,5,178929,2880,1424
5376,1986,1,75,178929,3600,1424
6144,1986,2,178929,4320,1424
