pga,bp_mb,extra_rw_mb,estd_pga_cache_hit_percentage
128,46223,3633,93
256,46223,3633,93
512,46223,186,100
768,46223,0,100
1024,46223,0,100
1229,46223,0,100
1434,46223,0,100
1638,46223,0,100
1843,46223,0,100
2048,46223,0,100
3072,46223,0,100
4096,46223,0,100
6144,46223,0,100
8192,46223,0,100
