
"PGA","FACTOR","BP_MB","EXTRA_RW_MB","ESTD_PGA_CACHE_HIT_PERCENTAGE"
64,"0.13",19270,613,97
128,"0.25",19270,613,97
256,"0.50",19270,613,97
384,"0.75",19270,613,97
512,"1.00",19270,0,100
614,"1.20",19270,0,100
717,"1.40",19270,0,100
819,"1.60",19270,0,100
922,"1.80",19270,0,100
1024,"2.00",19270,0,100
1536,"3.00",19270,0,100
2048,"4.00",19270,0,100
3072,"6.00",19270,0,100
4096,"8.00",19270,0,100
