
"SGA","DB_TIME","FACTOR","ESTD_PHYSICAL_READS","ESTD_BUFFER_CACHE_SIZE","ESTD_SHARED_POOL_SIZE"
768,123679,.969,2683702,1408,1216
1536,123679,.969,2683702,1408,1216
2304,138268,1.0833,14462202,512,1280
3072,127636,1,2683702,1408,1216
3840,126602,.9919,1597876,1792,1584
4608,126449,.9907,1597876,1792,2352
5376,126436,.9906,578606,2304,2480
6144,126436,.9906,550696,2944,2480
