
"PGA","PGA_TARGET_FACTOR","BP_MB","EXTRA_RW_MB","ESTD_PGA_CACHE_HIT_PERCENTAGE"
128,.125,10118821,310605,97
256,.25,10118821,310605,97
512,.5,10118821,309697,97
768,.75,10118821,292477,97
1024,1,10118821,20,100
1229,1.2,10118821,0,100
1434,1.4,10118821,0,100
1638,1.6,10118821,0,100
1843,1.8,10118821,0,100
2048,2,10118821,0,100
3072,3,10118821,0,100
4096,4,10118821,0,100
6144,6,10118821,0,100
8192,8,10118821,0,100
