INSTANCE,SYSDATE,VALUE
2,13-01-22 08,14138
2,13-01-22 08,30054
1,13-01-22 08,29888
2,13-01-22 08,35373
1,13-01-22 08,14704
1,13-01-22 09,34222
2,13-01-22 09,34379
1,13-01-22 09,41294
2,13-01-22 09,23007
2,13-01-22 09,22333
1,13-01-22 09,48190
2,13-01-22 09,22301
1,13-01-22 09,38111
1,13-01-22 10,52784
2,13-01-22 10,23784
2,13-01-22 10,23644
1,13-01-22 10,37690
2,13-01-22 10,24482
1,13-01-22 10,51590
1,13-01-22 10,27223
2,13-01-22 10,37023
1,13-01-22 11,52784
2,13-01-22 11,22936
1,13-01-22 11,27764
2,13-01-22 11,37843
2,13-01-22 11,52578
1,13-01-22 11,23523
2,13-01-22 11,24946
1,13-01-22 11,39821
1,13-01-22 12,40532
2,13-01-22 12,94671
1,13-01-22 12,97822
2,13-01-22 12,1140864
2,13-01-22 12,713540
1,13-01-22 12,52495
1,13-01-22 12,40549
2,13-01-22 12,145884
1,13-01-22 13,43209
2,13-01-22 13,30953
2,13-01-22 13,31038
1,13-01-22 13,33996
1,13-01-22 13,49098
2,13-01-22 13,23163
2,13-01-22 13,21896
1,13-01-22 13,39659
1,13-01-22 14,52070
2,13-01-22 14,22627
2,13-01-22 14,24791
1,13-01-22 14,38402
1,13-01-22 14,33499
2,13-01-22 14,33716
1,13-01-22 14,38665
2,13-01-22 14,20057
1,13-01-22 15,44462
2,13-01-22 15,15897
2,13-01-22 15,13249
1,13-01-22 15,31970
2,13-01-22 15,26538
1,13-01-22 15,29065
2,13-01-22 15,16333
1,13-01-22 15,32399
1,13-01-22 16,30878
2,13-01-22 16,26348
2,13-01-22 16,17798
1,13-01-22 16,35734
2,13-01-22 16,17479
1,13-01-22 16,45492
1,13-01-22 16,36464
2,13-01-22 16,18184
2,13-01-22 17,19559
1,13-01-22 17,46970
1,13-01-22 17,27108
2,13-01-22 17,28106
1,13-01-22 17,38041
2,13-01-22 17,30800
1,13-01-22 17,38457
2,13-01-22 17,21019
1,13-01-22 18,45018
2,13-01-22 18,19680
2,13-01-22 18,21573
1,13-01-22 18,33194
2,13-01-22 18,31713
1,13-01-22 18,28476
2,13-01-22 18,18706
1,13-01-22 18,33873
2,13-01-22 19,19847
1,13-01-22 19,46494
1,13-01-22 19,15569
2,13-01-22 19,34722
1,13-01-22 19,42299
2,13-01-22 19,15776
1,13-01-22 19,36166
2,13-01-22 19,17302
1,13-01-22 20,41622
2,13-01-22 20,15444
1,13-01-22 20,15240
2,13-01-22 20,27473
2,13-01-22 20,24032
1,13-01-22 20,26009
1,13-01-22 20,33704
2,13-01-22 20,11678
2,13-01-22 21,19531
1,13-01-22 21,34849
2,13-01-22 21,9981
1,13-01-22 21,23710
2,13-01-22 21,23272
1,13-01-22 21,17782
2,13-01-22 21,6870
1,13-01-22 21,23977
2,13-01-22 22,10054
1,13-01-22 22,62147
2,13-01-22 22,17980
1,13-01-22 22,11952
1,13-01-22 22,21507
2,13-01-22 22,18417
1,13-01-22 22,21598
2,13-01-22 22,9223
2,13-01-22 23,21027
1,13-01-22 23,17731
1,13-01-22 23,6874
2,13-01-22 23,21419
2,13-01-22 23,19340
1,13-01-22 23,17847
1,13-01-22 23,8067
2,13-01-22 23,18852
1,14-01-22 00,5364
2,14-01-22 00,30060
1,14-01-22 00,17269
2,14-01-22 00,6989
1,14-01-22 00,29390
2,14-01-22 00,5039
1,14-01-22 00,11950
2,14-01-22 00,13334
1,14-01-22 01,22971
2,14-01-22 01,22910
2,14-01-22 01,8686
1,14-01-22 01,14873
2,14-01-22 01,6421
1,14-01-22 01,27544
1,14-01-22 01,2346
2,14-01-22 01,22592
2,14-01-22 02,15668
1,14-01-22 02,17327
1,14-01-22 02,19662
2,14-01-22 02,65918
2,14-01-22 02,5296
1,14-01-22 02,27437
1,14-01-22 02,6801
2,14-01-22 02,14960
2,14-01-22 03,25561
1,14-01-22 03,7223
1,14-01-22 03,16734
2,14-01-22 03,5564
2,14-01-22 03,13932
1,14-01-22 03,18778
1,14-01-22 03,20316
2,14-01-22 03,2413
1,14-01-22 04,4243
2,14-01-22 04,28238
1,14-01-22 04,15857
2,14-01-22 04,7514
1,14-01-22 04,13448
2,14-01-22 04,19106
2,14-01-22 04,15568
1,14-01-22 04,6853
2,14-01-22 05,17785
1,14-01-22 05,16002
1,14-01-22 05,18933
2,14-01-22 05,5607
1,14-01-22 05,16286
2,14-01-22 05,17984
1,14-01-22 05,18857
2,14-01-22 05,4754
1,14-01-22 06,16154
2,14-01-22 06,21670
2,14-01-22 06,7942
1,14-01-22 06,19659
1,14-01-22 06,32306
2,14-01-22 06,5791
2,14-01-22 06,16741
1,14-01-22 06,8781
1,14-01-22 07,16269
2,14-01-22 07,21506
1,14-01-22 07,23465
2,14-01-22 07,5674
2,14-01-22 07,16964
1,14-01-22 07,24245
1,14-01-22 07,22801
2,14-01-22 07,10404
1,14-01-22 08,39488
2,14-01-22 08,11001
1,14-01-22 08,34003
2,14-01-22 08,15905
2,14-01-22 08,16081
1,14-01-22 08,43834
2,14-01-22 08,27715
1,14-01-22 08,22975
2,14-01-22 09,22112
1,14-01-22 09,45992
1,14-01-22 09,39011
2,14-01-22 09,22176
1,14-01-22 09,41145
2,14-01-22 09,35602
2,14-01-22 09,24422
1,14-01-22 09,40091
2,14-01-22 10,25900
1,14-01-22 10,57410
1,14-01-22 10,42298
2,14-01-22 10,26432
2,14-01-22 10,23766
1,14-01-22 10,52109
1,14-01-22 10,37271
2,14-01-22 10,24999
2,14-01-22 11,22369
1,14-01-22 11,50148
2,14-01-22 11,40263
1,14-01-22 11,32166
1,14-01-22 11,53038
2,14-01-22 11,23488
1,14-01-22 11,38574
2,14-01-22 11,26841
1,14-01-22 12,47562
2,14-01-22 12,26243
1,14-01-22 12,38717
2,14-01-22 12,22196
1,14-01-22 12,51783
2,14-01-22 12,29697
1,14-01-22 12,42302
2,14-01-22 12,27840
2,14-01-22 13,25294
1,14-01-22 13,53744
1,14-01-22 13,26824
2,14-01-22 13,33695
