pga,bp_mb,extra_rw_mb,estd_pga_cache_hit_percentage
88,26481,1492,95
175,26481,1492,95
350,26481,216,99
525,26481,0,100
700,26481,0,100
840,26481,0,100
980,26481,0,100
1120,26481,0,100
1260,26481,0,100
1400,26481,0,100
2100,26481,0,100
2800,26481,0,100
4200,26481,0,100
5600,26481,0,100
