pga,bp_mb,extra_rw_mb,estd_pga_cache_hit_percentage
24,13672605,2150388,86
48,13672605,1951861,88
96,13672605,1951861,88
144,13672605,1951861,88
192,13672605,491745,97
230,13672605,425459,97
269,13672605,422410,97
307,13672605,419161,97
346,13672605,418827,97
384,13672605,418431,97
576,13672605,232136,98
768,13672605,0,100
1152,13672605,0,100
1536,13672605,0,100
