pga,bp_mb,extra_rw_mb,estd_pga_cache_hit_percentage
128,91549,2162,98
256,91549,2162,98
512,91549,240,100
768,91549,89,100
1024,91549,0,100
1229,91549,0,100
1434,91549,0,100
1638,91549,0,100
1843,91549,0,100
2048,91549,0,100
3072,91549,0,100
4096,91549,0,100
6144,91549,0,100
8192,91549,0,100
