AWRDATE,OBJECT,VALUE,RANK
"22/09/2021 07:00","CTRL_ASYNC_CALLBACK","5591149",10
"22/09/2021 08:00","SUBSCRIPTION_PRESENCE_LOCATION","8532440400",1
"22/09/2021 08:00","HISTO_GPRS_09_PK","4960181954",2
"22/09/2021 08:00","SUBSCRIPTION_CONSUMPTION","3202442038",3
"22/09/2021 08:00","SUBSCRIPTION","1324479884",4
"22/09/2021 08:00","SUBS_PRESENCE_LOCATION_01_IDX","593845228",5
"22/09/2021 08:00","HISTO_GPRS_09","270784882",6
"22/09/2021 08:00","HISTO_LOCATION_09_PK","230497902",7
"22/09/2021 08:00","HISTO_GPRS_09_IDX","43975435",8
"22/09/2021 08:00","POOL_CHARGING","22937614",9
"22/09/2021 08:00","HISTO_LOCATION_09","4625450",10
"22/09/2021 09:00","SUBSCRIPTION_PRESENCE_LOCATION","8540117619",1
"22/09/2021 09:00","HISTO_GPRS_09_PK","4970780958",2
"22/09/2021 09:00","SUBSCRIPTION_CONSUMPTION","3205262564",3
"22/09/2021 09:00","SUBSCRIPTION","1325998669",4
"22/09/2021 09:00","SUBS_PRESENCE_LOCATION_01_IDX","594360792",5
"22/09/2021 09:00","HISTO_GPRS_09","295134863",6
"22/09/2021 09:00","HISTO_LOCATION_09_PK","118710567",7
"22/09/2021 09:00","HISTO_GPRS_09_IDX","47221881",8
"22/09/2021 09:00","POOL_CHARGING","22966648",9
"22/09/2021 09:00","HISTO_LOCATION_09","5893986",10
"22/09/2021 10:00","SUBSCRIPTION_PRESENCE_LOCATION","8547251553",1
"22/09/2021 10:00","HISTO_GPRS_09_PK","4980728489",2
"22/09/2021 10:00","SUBSCRIPTION_CONSUMPTION","3208006455",3
"22/09/2021 10:00","SUBSCRIPTION","1327498735",4
"22/09/2021 10:00","SUBS_PRESENCE_LOCATION_01_IDX","594862665",5
"22/09/2021 10:00","HISTO_GPRS_09","317505192",6
"22/09/2021 10:00","HISTO_LOCATION_09_PK","118855369",7
"22/09/2021 10:00","HISTO_GPRS_09_IDX","46298229",8
"22/09/2021 10:00","POOL_CHARGING","22994562",9
"22/09/2021 10:00","HISTO_LOCATION_09","3913260",10
"22/09/2021 11:00","SUBSCRIPTION_PRESENCE_LOCATION","8554253735",1
"22/09/2021 11:00","HISTO_GPRS_09_PK","4990908912",2
"22/09/2021 11:00","SUBSCRIPTION_CONSUMPTION","3210787586",3
"22/09/2021 11:00","SUBSCRIPTION","1329007838",4
"22/09/2021 11:00","SUBS_PRESENCE_LOCATION_01_IDX","595371169",5
"22/09/2021 11:00","HISTO_GPRS_09","288053872",6
"22/09/2021 11:00","HISTO_LOCATION_09_PK","231376901",7
"22/09/2021 11:00","HISTO_GPRS_09_IDX","47090811",8
"22/09/2021 11:00","POOL_CHARGING","23022814",9
"22/09/2021 11:00","HISTO_LOCATION_09","7270241",10
"22/09/2021 12:00","SUBSCRIPTION_PRESENCE_LOCATION","8561299270",1
"22/09/2021 12:00","HISTO_GPRS_09_PK","5000828394",2
"22/09/2021 12:00","SUBSCRIPTION_CONSUMPTION","3213661289",3
"22/09/2021 12:00","SUBSCRIPTION","1330497553",4
"22/09/2021 12:00","SUBS_PRESENCE_LOCATION_01_IDX","595905322",5
"22/09/2021 12:00","HISTO_GPRS_09","295823402",6
"22/09/2021 12:00","HISTO_LOCATION_09_PK","231816810",7
"22/09/2021 12:00","HISTO_GPRS_09_IDX","45822894",8
"22/09/2021 12:00","POOL_CHARGING","23051668",9
"22/09/2021 12:00","HISTO_LOCATION_09","2996092",10
"22/09/2021 13:00","SUBSCRIPTION_PRESENCE_LOCATION","8567634052",1
"22/09/2021 13:00","HISTO_GPRS_09_PK","5009553882",2
"22/09/2021 13:00","SUBSCRIPTION_CONSUMPTION","3216472396",3
"22/09/2021 13:00","SUBSCRIPTION","1331981850",4
"22/09/2021 13:00","SUBS_PRESENCE_LOCATION_01_IDX","596414012",5
"22/09/2021 13:00","HISTO_GPRS_09","291739555",6
"22/09/2021 13:00","HISTO_LOCATION_09_PK","232331973",7
"22/09/2021 13:00","HISTO_GPRS_09_IDX","46118604",8
"22/09/2021 13:00","POOL_CHARGING","23079348",9
"22/09/2021 13:00","HISTO_LOCATION_09","5796547",10
"22/09/2021 14:00","SUBSCRIPTION_PRESENCE_LOCATION","8577861420",1
"22/09/2021 14:00","HISTO_GPRS_09_PK","5024340247",2
"22/09/2021 14:00","SUBSCRIPTION_CONSUMPTION","3219989923",3
"22/09/2021 14:00","SUBSCRIPTION","1333622761",4
"22/09/2021 14:00","SUBS_PRESENCE_LOCATION_01_IDX","597437473",5
"22/09/2021 14:00","HISTO_GPRS_09","303827877",6
"22/09/2021 14:00","HISTO_LOCATION_09_PK","233094094",7
"22/09/2021 14:00","HISTO_GPRS_09_IDX","44581240",8
"22/09/2021 14:00","POOL_CHARGING","23142534",9
"22/09/2021 14:00","HISTO_LOCATION_09","2667929",10
"22/09/2021 15:00","SUBSCRIPTION_PRESENCE_LOCATION","8586564070",1
"22/09/2021 15:00","HISTO_GPRS_09_PK","5036289524",2
"22/09/2021 15:00","SUBSCRIPTION_CONSUMPTION","3222955468",3
"22/09/2021 15:00","SUBSCRIPTION","1335290563",4
"22/09/2021 15:00","SUBS_PRESENCE_LOCATION_01_IDX","597993301",5
"22/09/2021 15:00","HISTO_GPRS_09","280487499",6
"22/09/2021 15:00","HISTO_LOCATION_09_PK","233805152",7
"22/09/2021 15:00","HISTO_GPRS_09_IDX","47440954",8
"22/09/2021 15:00","POOL_CHARGING","23171486",9
"22/09/2021 15:00","HISTO_LOCATION_09","7914572",10
"22/09/2021 16:00","SUBSCRIPTION_PRESENCE_LOCATION","8595604698",1
"22/09/2021 16:00","HISTO_GPRS_09_PK","5048195166",2
"22/09/2021 16:00","SUBSCRIPTION_CONSUMPTION","3226019674",3
"22/09/2021 16:00","SUBSCRIPTION","1336996232",4
"22/09/2021 16:00","SUBS_PRESENCE_LOCATION_01_IDX","598575637",5
"22/09/2021 16:00","HISTO_GPRS_09","306592822",6
"22/09/2021 16:00","HISTO_LOCATION_09_PK","234515008",7
"22/09/2021 16:00","HISTO_GPRS_09_IDX","46576293",8
"22/09/2021 16:00","POOL_CHARGING","23202362",9
"22/09/2021 16:00","HISTO_LOCATION_09","2305633",10
"22/09/2021 17:00","SUBSCRIPTION_PRESENCE_LOCATION","8605212188",1
"22/09/2021 17:00","HISTO_GPRS_09_PK","5060669517",2
"22/09/2021 17:00","SUBSCRIPTION_CONSUMPTION","3229055735",3
"22/09/2021 17:00","SUBSCRIPTION","1338719269",4
"22/09/2021 17:00","SUBS_PRESENCE_LOCATION_01_IDX","599152932",5
"22/09/2021 17:00","HISTO_GPRS_09","286294169",6
