pga,bp_mb,extra_rw_mb,estd_pga_cache_hit_percentage
88,38506,14146,73
175,38506,14146,73
350,38506,12039,76
525,38506,405,99
700,38506,0,100
840,38506,0,100
980,38506,0,100
1120,38506,0,100
1260,38506,0,100
1400,38506,0,100
2100,38506,0,100
2800,38506,0,100
4200,38506,0,100
5600,38506,0,100
